,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.642,0.764,7,-6.7410000000000005,0,0.0457,0.1,0.32,0.0731,0.7040000000000001,104.885,224041
1,1,0.731,0.743,11,-11.783,0,0.0506,0.0696,0.0045,0.0796,0.97,88.04899999999999,210483
2,2,0.684,0.882,8,-9.353,1,0.11800000000000001,0.152,0.0225,0.313,0.758,90.149,305760
3,3,0.782,0.922,11,-4.0280000000000005,0,0.0497,0.00655,0.0118,0.0728,0.7609999999999999,104.016,255228
4,4,0.745,0.84,0,-6.622999999999999,1,0.0692,0.0654,0.10400000000000001,0.0446,0.9,123.98299999999999,224368
5,5,0.687,0.958,9,-4.498,1,0.11800000000000001,0.0561,0.138,0.0886,0.797,158.276,186349
6,6,0.61,0.752,10,-5.062,0,0.0389,0.294,0.0755,0.11599999999999999,0.8320000000000001,89.995,196867
7,7,0.55,0.7759999999999999,0,-4.796,1,0.23600000000000002,0.0893,0.000182,0.17600000000000002,0.932,204.745,215587
8,8,0.6579999999999999,0.895,7,-6.84,0,0.0704,0.0669,0.00312,0.361,0.855,123.912,199600
9,9,0.775,0.898,2,-7.053999999999999,1,0.0949,0.027999999999999997,0.000269,0.0646,0.7759999999999999,109.98700000000001,281133
10,10,0.7709999999999999,0.807,7,-6.257999999999999,1,0.057999999999999996,0.0107,0.0135,0.568,0.7070000000000001,98.00299999999999,256960
11,11,0.8490000000000001,0.7809999999999999,0,-9.329,0,0.0803,0.0946,0.057,0.0681,0.8170000000000001,115.009,402852
12,12,0.518,0.877,1,-5.648,1,0.0458,0.00021400000000000002,0.07200000000000001,0.297,0.812,92.902,222334
13,13,0.392,0.865,2,-4.766,0,0.10400000000000001,0.0025399999999999997,4.2499999999999996e-05,0.107,0.845,188.354,216152
14,14,0.698,0.687,0,-6.185,1,0.0673,0.115,1.48e-06,0.0858,0.8,114.353,286433
15,15,0.779,0.8029999999999999,2,-5.907,0,0.0393,0.361,0.000697,0.0371,0.973,112.04899999999999,295133
16,16,0.679,0.9470000000000001,6,-3.707,1,0.0809,0.67,9.69e-06,0.19899999999999998,0.8640000000000001,109.84899999999999,274580
17,17,0.698,0.9059999999999999,7,-10.687999999999999,0,0.04,0.581,0.812,0.114,0.882,108.0,311437
18,18,0.728,0.6940000000000001,1,-6.367999999999999,1,0.0404,0.0556,9.290000000000001e-05,0.135,0.688,90.044,287213
19,19,0.629,0.7340000000000001,2,-7.952000000000001,1,0.0443,0.009059999999999999,1.8e-05,0.135,0.631,150.15,234324
20,20,0.8140000000000001,0.682,5,-6.89,0,0.0559,0.0283,0.000789,0.159,0.914,123.72200000000001,153387
21,21,0.777,0.9079999999999999,9,-5.242000000000001,1,0.172,0.0904,0.0,0.22399999999999998,0.674,100.93799999999999,174608
22,22,0.703,0.914,7,-6.455,1,0.0755,0.0439,0.00123,0.161,0.843,108.993,328480
23,23,0.637,0.884,5,-6.96,1,0.0664,0.0318,3.44e-06,0.0677,0.527,121.926,216800
24,24,0.8109999999999999,0.792,7,-8.477,1,0.0537,0.0363,0.0517,0.342,0.94,107.255,239621
25,25,0.8170000000000001,0.795,5,-6.108,0,0.0546,0.0449,0.0119,0.0195,0.855,107.971,245413
26,26,0.606,0.9570000000000001,11,-5.646,0,0.18,0.113,0.0704,0.0418,0.5539999999999999,99.042,261185
27,27,0.73,0.674,5,-11.049000000000001,1,0.0526,0.00442,1.48e-06,0.0885,0.847,107.25299999999999,272722
28,28,0.888,0.531,9,-8.177999999999999,0,0.317,0.267,0.000334,0.00535,0.856,150.05200000000002,215603
29,29,0.8740000000000001,0.445,5,-9.846,0,0.067,0.0496,0.00203,0.11800000000000001,0.616,110.12200000000001,289349
30,30,0.6970000000000001,0.818,11,-9.73,0,0.0467,0.0045,0.85,0.16,0.7390000000000001,132.187,164021
31,31,0.8290000000000001,0.861,0,-5.672000000000001,1,0.0797,0.134,0.00566,0.0908,0.727,124.20100000000001,291160
32,32,0.687,0.868,6,-6.797999999999999,0,0.0888,0.0627,0.0011300000000000001,0.0833,0.8009999999999999,102.12100000000001,199893
33,33,0.742,0.848,4,-6.336,0,0.0404,0.115,0.0,0.32799999999999996,0.622,109.48700000000001,265872
34,34,0.748,0.6459999999999999,10,-7.601,0,0.045,0.0608,0.0221,0.313,0.7709999999999999,91.97200000000001,212027
35,35,0.603,0.887,1,-5.343,1,0.0664,0.44,0.496,0.0836,0.8029999999999999,92.98200000000001,246413
36,36,0.8370000000000001,0.899,7,-4.078,0,0.047,0.589,2.54e-06,0.0886,0.897,110.07,332206
37,37,0.75,0.457,8,-10.245,0,0.0665,0.09300000000000001,0.11800000000000001,0.054000000000000006,0.613,76.005,276469
38,38,0.504,0.6809999999999999,4,-8.776,0,0.113,0.138,0.00037400000000000004,0.0966,0.632,116.552,256204
39,39,0.6509999999999999,0.721,7,-6.229,0,0.0655,0.0294,0.0117,0.131,0.44,118.039,290261
40,40,0.58,0.816,11,-8.574,0,0.217,0.33299999999999996,0.00933,0.132,0.765,202.324,178933
