,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.597,0.45,8,-6.6579999999999995,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482
1,1,0.715,0.8270000000000001,4,-5.09,0,0.0617,0.0485,3.6099999999999997e-05,0.321,0.75,117.977,185277
2,2,0.486,0.5670000000000001,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,211254
3,3,0.5710000000000001,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.17300000000000001,0.39299999999999996,168.169,232253
4,4,0.784,0.43,10,-8.756,0,0.0364,0.12300000000000001,0.0,0.0887,0.23600000000000002,127.087,159382
5,5,0.8270000000000001,0.794,9,-5.445,1,0.0754,0.006959999999999999,0.0,0.11599999999999999,0.377,113.008,180960
6,6,0.499,0.898,8,-4.181,0,0.124,0.124,7.2000000000000005e-06,0.0832,0.618,120.04,207668
7,7,0.7709999999999999,0.6709999999999999,2,-5.617000000000001,1,0.0553,0.009290000000000001,0.0,0.0637,0.7140000000000001,85.02600000000001,171360
8,8,0.8059999999999999,0.546,9,-6.6370000000000005,1,0.0575,0.3,0.0,0.102,0.8740000000000001,147.986,212867
9,9,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,174800
10,10,0.6759999999999999,0.506,9,-6.652,0,0.0958,0.345,0.0,0.11800000000000001,0.49700000000000005,145.842,208520
11,11,0.8420000000000001,0.7340000000000001,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.9520000000000001,137.958,181027
12,12,0.759,0.5479999999999999,9,-6.0489999999999995,0,0.028999999999999998,0.0392,0.0,0.0828,0.7490000000000001,116.96700000000001,190800
13,13,0.612,0.539,3,-5.071000000000001,1,0.0488,0.10400000000000001,0.0,0.18,0.294,79.94800000000001,186480
14,14,0.8109999999999999,0.512,2,-6.381,1,0.17,0.218,0.0262,0.0768,0.34600000000000003,92.046,161188
15,15,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,182200
16,16,0.856,0.622,10,-5.2170000000000005,0,0.0564,0.36,0.0,0.0875,0.778,114.976,210921
17,17,0.5760000000000001,0.46,5,-4.173,1,0.24600000000000002,0.47600000000000003,0.0,0.107,0.625,176.185,158099
18,18,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,232907
19,19,0.7240000000000001,0.594,6,-7.126,0,0.102,0.39299999999999996,0.00116,0.0889,0.413,136.002,194750
20,20,0.7190000000000001,0.687,0,-7.875,1,0.0601,0.046,1.09e-06,0.12,0.627,118.01799999999999,142587
21,21,0.7829999999999999,0.912,0,-3.713,1,0.243,0.0238,0.0,0.33899999999999997,0.7490000000000001,98.025,166898
22,22,0.7959999999999999,0.591,5,-6.412999999999999,1,0.0608,0.193,0.0248,0.0938,0.51,102.963,156116
23,23,0.795,0.18,0,-11.99,1,0.0586,0.599,0.0,0.623,0.628,93.956,181613
24,24,0.488,0.34299999999999997,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459
25,25,0.7,0.457,7,-8.667,1,0.0621,0.369,0.0,0.106,0.433,144.905,194757
26,26,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,230880
27,27,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161
28,28,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.11800000000000001,0.728,182.162,193000
29,29,0.758,0.562,9,-6.3020000000000005,1,0.0771,0.0996,0.0,0.0996,0.581,142.035,217493
30,30,0.506,0.698,7,-7.013999999999999,0,0.17600000000000002,0.0108,0.0,0.172,0.223,180.05,213245
31,31,0.501,0.674,5,-6.3629999999999995,1,0.0408,0.00346,3.5600000000000005e-05,0.282,0.152,155.05100000000002,200838
32,32,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.35200000000000004,0.0875,104.745,208155
33,33,0.758,0.583,1,-6.361000000000001,1,0.0421,0.18,5.12e-05,0.107,0.797,97.537,177438
34,34,0.302,0.48100000000000004,2,-7.023,0,0.0625,0.0945,5.33e-06,0.142,0.252,216.334,159810
