,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.6809999999999999,0.615,111.12899999999999,321133
1,1,0.6920000000000001,0.493,9,-9.662,0,0.0325,0.0934,0.0016600000000000002,0.128,0.28,86.64399999999999,301133
2,2,0.821,0.376,0,-13.622,1,0.0487,0.669,1.39e-05,0.106,0.8240000000000001,119.039,170000
3,3,0.6609999999999999,0.342,9,-16.361,0,0.043,0.8440000000000001,0.000128,0.26,0.588,146.118,188400
4,4,0.542,0.588,2,-9.267999999999999,1,0.0665,0.67,0.158,0.24100000000000002,0.8809999999999999,113.948,238533
5,5,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.7709999999999999,114.21600000000001,188200
6,6,0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,314880
7,7,0.541,0.28300000000000003,0,-13.659,1,0.0527,0.805,0.0367,0.0736,0.564,76.828,228627
8,8,0.596,0.545,11,-8.913,0,0.064,0.456,5.5299999999999996e-05,0.32899999999999996,0.718,146.953,179733
9,9,0.353,0.9209999999999999,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,271653
10,10,0.513,0.546,0,-15.672,1,0.0391,0.33299999999999996,0.0,0.17,0.8340000000000001,85.527,164547
11,11,0.565,0.526,0,-11.352,1,0.0365,0.0339,0.00011899999999999999,0.11,0.637,167.93599999999998,204333
12,12,0.6759999999999999,0.33399999999999996,5,-10.572000000000001,1,0.0508,0.862,0.0,0.32,0.867,158.0,162040
13,13,0.675,0.311,9,-11.959000000000001,1,0.0525,0.93,0.000261,0.102,0.638,97.15899999999999,149560
14,14,0.629,0.0192,4,-19.952,1,0.0833,0.9890000000000001,4.3e-05,0.106,0.335,169.25400000000002,188160
15,15,0.256,0.423,6,-11.994000000000002,1,0.035,0.000788,0.402,0.25,0.441,173.27,320907
16,16,0.606,0.301,0,-11.402000000000001,1,0.0423,0.545,0.0019399999999999999,0.0419,0.457,100.979,183027
17,17,0.613,0.934,0,-3.7110000000000003,1,0.0342,0.0406,0.00031299999999999996,0.0882,0.7759999999999999,107.273,283267
18,18,0.5820000000000001,0.302,9,-11.624,1,0.0353,0.9470000000000001,0.0107,0.0931,0.642,94.288,144427
